date;region;cases
2020-04-01;AT-4;100
2020-04-01;AT-5;43
2020-04-01;AT-6;60
2020-04-01;AT-7;120
2020-04-01;AT-8;15
2020-04-01;AT-9;113
2020-04-02;AT-1;7
2020-04-02;AT-2;8
2020-04-02;AT-3;97
2020-04-02;AT-4;66
2020-04-02;AT-5;37
2020-04-02;AT-6;44
2020-04-02;AT-7;97
2020-04-02;AT-8;24
2020-04-02;AT-9;53
2020-04-03;AT-1;7
2020-04-03;AT-2;9
2020-04-03;AT-3;67
2020-04-03;AT-4;64
2020-04-03;AT-5;26
2020-04-03;AT-6;59
2020-04-03;AT-7;89
2020-04-03;AT-8;18
2020-04-03;AT-9;70
2020-04-04;AT-1;12
2020-04-04;AT-2;6
2020-04-04;AT-3;31
2020-04-04;AT-4;45
2020-04-04;AT-5;9
2020-04-04;AT-6;56
2020-04-04;AT-7;72
2020-04-04;AT-8;7
2020-04-04;AT-9;10
2020-04-05;AT-1;4
2020-04-05;AT-2;6
2020-04-05;AT-3;28
2020-04-05;AT-4;37
2020-04-05;AT-5;11
2020-04-05;AT-6;25
2020-04-05;AT-7;26
2020-04-05;AT-8;25
2020-04-05;AT-9;21
2020-04-06;AT-1;4
2020-04-06;AT-2;8
2020-04-06;AT-3;96
2020-04-06;AT-4;16
2020-04-06;AT-5;11
2020-04-06;AT-6;39
2020-04-06;AT-7;37
2020-04-06;AT-8;20
2020-04-06;AT-9;72
2020-04-07;AT-1;3
2020-04-07;AT-2;8
2020-04-07;AT-3;67
2020-04-07;AT-4;32
2020-04-07;AT-5;27
2020-04-07;AT-6;44
2020-04-07;AT-7;32
2020-04-07;AT-8;24
2020-04-07;AT-9;51
2020-04-08;AT-1;10
2020-04-08;AT-2;15
2020-04-08;AT-3;52
2020-04-08;AT-4;40
2020-04-08;AT-5;11
2020-04-08;AT-6;36
2020-04-08;AT-7;51
2020-04-08;AT-8;10
2020-04-08;AT-9;62
2020-04-09;AT-1;3
2020-04-09;AT-2;9
2020-04-09;AT-3;28
2020-04-09;AT-4;38
2020-04-09;AT-5;16
2020-04-09;AT-6;33
2020-04-09;AT-7;107
2020-04-09;AT-8;8
2020-04-09;AT-9;34
2020-04-10;AT-1;6
2020-04-10;AT-2;10
2020-04-10;AT-3;83
2020-04-10;AT-4;24
2020-04-10;AT-5;9
2020-04-10;AT-6;31
2020-04-10;AT-7;126
2020-04-10;AT-8;24
2020-04-10;AT-9;44
2020-04-11;AT-1;5
2020-04-11;AT-2;7
2020-04-11;AT-3;53
2020-04-11;AT-4;11
2020-04-11;AT-5;7
2020-04-11;AT-6;25
2020-04-11;AT-7;62
2020-04-11;AT-8;6
2020-04-11;AT-9;27
2020-04-12;AT-1;7
2020-04-12;AT-2;2
2020-04-12;AT-3;17
2020-04-12;AT-4;6
2020-04-12;AT-5;11
2020-04-12;AT-6;28
2020-04-12;AT-7;17
2020-04-12;AT-8;5
2020-04-12;AT-9;18
2020-04-13;AT-1;3
2020-04-13;AT-2;1
2020-04-13;AT-3;15
2020-04-13;AT-4;12
2020-04-13;AT-5;3
2020-04-13;AT-6;19
2020-04-13;AT-7;15
2020-04-13;AT-8;1
2020-04-13;AT-9;18
2020-04-14;AT-1;5
2020-04-14;AT-2;2
2020-04-14;AT-3;33
2020-04-14;AT-4;14
2020-04-14;AT-5;3
2020-04-14;AT-6;18
2020-04-14;AT-7;14
2020-04-14;AT-8;9
2020-04-14;AT-9;51
2020-04-15;AT-1;1
2020-04-15;AT-2;1
2020-04-15;AT-3;28
2020-04-15;AT-4;22
2020-04-15;AT-5;6
2020-04-15;AT-6;19
2020-04-15;AT-7;21
2020-04-15;AT-8;5
2020-04-15;AT-9;25
2020-04-16;AT-1;8
2020-04-16;AT-2;0
2020-04-16;AT-3;15
2020-04-16;AT-4;6
2020-04-16;AT-5;8
2020-04-16;AT-6;19
2020-04-16;AT-7;21
2020-04-16;AT-8;2
2020-04-16;AT-9;33
2020-04-17;AT-1;8
2020-04-17;AT-2;1
2020-04-17;AT-3;18
2020-04-17;AT-4;19
2020-04-17;AT-5;4
2020-04-17;AT-6;15
2020-04-17;AT-7;4
2020-04-17;AT-8;2
2020-04-17;AT-9;28
2020-04-18;AT-1;4
2020-04-18;AT-2;0
2020-04-18;AT-3;6
2020-04-18;AT-4;5
2020-04-18;AT-5;4
2020-04-18;AT-6;7
2020-04-18;AT-7;7
2020-04-18;AT-8;3
2020-04-18;AT-9;23
2020-04-19;AT-1;3
2020-04-19;AT-2;0
2020-04-19;AT-3;5
2020-04-19;AT-4;4
2020-04-19;AT-5;5
2020-04-19;AT-6;7
2020-04-19;AT-7;6
2020-04-19;AT-8;1
2020-04-19;AT-9;16
2020-04-20;AT-1;5
2020-04-20;AT-2;2
2020-04-20;AT-3;19
2020-04-20;AT-4;8
2020-04-20;AT-5;0
2020-04-20;AT-6;9
2020-04-20;AT-7;4
2020-04-20;AT-8;5
2020-04-20;AT-9;13
2020-04-21;AT-1;3
2020-04-21;AT-2;1
2020-04-21;AT-3;12
2020-04-21;AT-4;4
2020-04-21;AT-5;2
2020-04-21;AT-6;6
2020-04-21;AT-7;9
2020-04-21;AT-8;2
2020-04-21;AT-9;31
2020-04-22;AT-1;3
2020-04-22;AT-2;0
2020-04-22;AT-3;15
2020-04-22;AT-4;4
2020-04-22;AT-5;0
2020-04-22;AT-6;16
2020-04-22;AT-7;9
2020-04-22;AT-8;0
2020-04-22;AT-9;23
2020-04-23;AT-1;1
2020-04-23;AT-2;0
2020-04-23;AT-3;7
2020-04-23;AT-4;11
2020-04-23;AT-5;2
2020-04-23;AT-6;11
2020-04-23;AT-7;5
2020-04-23;AT-8;1
2020-04-23;AT-9;22
2020-04-24;AT-1;1
2020-04-24;AT-2;0
2020-04-24;AT-3;13
2020-04-24;AT-4;7
2020-04-24;AT-5;2
2020-04-24;AT-6;8
2020-04-24;AT-7;16
2020-04-24;AT-8;0
2020-04-24;AT-9;32
2020-04-25;AT-1;1
2020-04-25;AT-2;2
2020-04-25;AT-3;7
2020-04-25;AT-4;1
2020-04-25;AT-5;2
2020-04-25;AT-6;18
2020-04-25;AT-7;12
2020-04-25;AT-8;0
2020-04-25;AT-9;19
2020-04-26;AT-1;0
2020-04-26;AT-2;1
2020-04-26;AT-3;5
2020-04-26;AT-4;2
2020-04-26;AT-5;4
2020-04-26;AT-6;12
2020-04-26;AT-7;1
2020-04-26;AT-8;0
2020-04-26;AT-9;11
2020-04-27;AT-1;4
2020-04-27;AT-2;0
2020-04-27;AT-3;8
2020-04-27;AT-4;4
2020-04-27;AT-5;0
2020-04-27;AT-6;10
2020-04-27;AT-7;4
2020-04-27;AT-8;1
2020-04-27;AT-9;37
2020-04-28;AT-1;0
2020-04-28;AT-2;0
2020-04-28;AT-3;8
2020-04-28;AT-4;3
2020-04-28;AT-5;1
2020-04-28;AT-6;4
2020-04-28;AT-7;5
2020-04-28;AT-8;2
2020-04-28;AT-9;26
2020-04-29;AT-1;2
2020-04-29;AT-2;0
2020-04-29;AT-3;17
2020-04-29;AT-4;2
2020-04-29;AT-5;0
2020-04-29;AT-6;5
2020-04-29;AT-7;5
2020-04-29;AT-8;0
2020-04-29;AT-9;29
2020-04-30;AT-1;2
2020-04-30;AT-2;0
2020-04-30;AT-3;6
2020-04-30;AT-4;1
2020-04-30;AT-5;1
2020-04-30;AT-6;8
2020-04-30;AT-7;3
2020-04-30;AT-8;1
2020-04-30;AT-9;32
2020-05-01;AT-1;0
2020-05-01;AT-2;0
2020-05-01;AT-3;7
2020-05-01;AT-4;1
2020-05-01;AT-5;0
2020-05-01;AT-6;5
2020-05-01;AT-7;0
2020-05-01;AT-8;0
2020-05-01;AT-9;24
2020-05-02;AT-1;1
2020-05-02;AT-2;0
2020-05-02;AT-3;1
2020-05-02;AT-4;0
2020-05-02;AT-5;1
2020-05-02;AT-6;2
2020-05-02;AT-7;2
2020-05-02;AT-8;1
2020-05-02;AT-9;20
2020-05-03;AT-1;0
2020-05-03;AT-2;0
2020-05-03;AT-3;2
2020-05-03;AT-4;2
2020-05-03;AT-5;0
2020-05-03;AT-6;1
2020-05-03;AT-7;2
2020-05-03;AT-8;0
2020-05-03;AT-9;5
2020-05-04;AT-1;0
2020-05-04;AT-2;0
2020-05-04;AT-3;6
2020-05-04;AT-4;0
2020-05-04;AT-5;0
2020-05-04;AT-6;3
2020-05-04;AT-7;3
2020-05-04;AT-8;0
2020-05-04;AT-9;18
2020-05-05;AT-1;1
2020-05-05;AT-2;1
2020-05-05;AT-3;12
2020-05-05;AT-4;1
2020-05-05;AT-5;1
2020-05-05;AT-6;3
2020-05-05;AT-7;5
2020-05-05;AT-8;0
2020-05-05;AT-9;30
2020-05-06;AT-1;0
2020-05-06;AT-2;0
2020-05-06;AT-3;11
2020-05-06;AT-4;2
2020-05-06;AT-5;0
2020-05-06;AT-6;8
2020-05-06;AT-7;3
2020-05-06;AT-8;0
2020-05-06;AT-9;22
2020-05-07;AT-1;0
2020-05-07;AT-2;0
2020-05-07;AT-3;10
2020-05-07;AT-4;1
2020-05-07;AT-5;0
2020-05-07;AT-6;4
2020-05-07;AT-7;2
2020-05-07;AT-8;0
2020-05-07;AT-9;23
2020-05-08;AT-1;1
2020-05-08;AT-2;0
2020-05-08;AT-3;9
2020-05-08;AT-4;1
2020-05-08;AT-5;0
2020-05-08;AT-6;5
2020-05-08;AT-7;0
2020-05-08;AT-8;0
2020-05-08;AT-9;33
2020-05-09;AT-1;0
2020-05-09;AT-2;0
2020-05-09;AT-3;6
2020-05-09;AT-4;1
2020-05-09;AT-5;0
2020-05-09;AT-6;17
2020-05-09;AT-7;1
2020-05-09;AT-8;0
2020-05-09;AT-9;5
2020-05-10;AT-1;0
2020-05-10;AT-2;0
2020-05-10;AT-3;3
2020-05-10;AT-4;1
2020-05-10;AT-5;0
2020-05-10;AT-6;0
2020-05-10;AT-7;1
2020-05-10;AT-8;0
2020-05-10;AT-9;10
2020-05-11;AT-1;1
2020-05-11;AT-2;1
2020-05-11;AT-3;5
2020-05-11;AT-4;0
2020-05-11;AT-5;0
2020-05-11;AT-6;1
2020-05-11;AT-7;0
2020-05-11;AT-8;0
2020-05-11;AT-9;57
2020-05-12;AT-1;0
2020-05-12;AT-2;0
2020-05-12;AT-3;6
2020-05-12;AT-4;0
2020-05-12;AT-5;0
2020-05-12;AT-6;1
2020-05-12;AT-7;2
2020-05-12;AT-8;0
2020-05-12;AT-9;29
2020-05-13;AT-1;0
2020-05-13;AT-2;0
2020-05-13;AT-3;8
2020-05-13;AT-4;0
2020-05-13;AT-5;0
2020-05-13;AT-6;0
2020-05-13;AT-7;2
2020-05-13;AT-8;0
2020-05-13;AT-9;42
2020-05-14;AT-1;0
2020-05-14;AT-2;0
2020-05-14;AT-3;12
2020-05-14;AT-4;0
2020-05-14;AT-5;0
2020-05-14;AT-6;1
2020-05-14;AT-7;4
2020-05-14;AT-8;0
2020-05-14;AT-9;37
2020-05-15;AT-1;1
2020-05-15;AT-2;0
2020-05-15;AT-3;12
2020-05-15;AT-4;3
2020-05-15;AT-5;0
2020-05-15;AT-6;2
2020-05-15;AT-7;1
2020-05-15;AT-8;1
2020-05-15;AT-9;55
2020-05-16;AT-1;1
2020-05-16;AT-2;0
2020-05-16;AT-3;4
2020-05-16;AT-4;0
2020-05-16;AT-5;0
2020-05-16;AT-6;2
2020-05-16;AT-7;0
2020-05-16;AT-8;1
2020-05-16;AT-9;7
2020-05-17;AT-1;1
2020-05-17;AT-2;0
2020-05-17;AT-3;4
2020-05-17;AT-4;0
2020-05-17;AT-5;0
2020-05-17;AT-6;1
2020-05-17;AT-7;2
2020-05-17;AT-8;2
