date;region;shotNo;doses
2021-01-05;AT-8;2;0
2021-01-05;AT-8;3;0
2021-01-05;AT-8;4;0
2021-01-05;AT-9;1;20
2021-01-05;AT-9;2;0
2021-01-05;AT-9;3;0
2021-01-05;AT-9;4;0
2021-01-06;AT-1;1;8
2021-01-06;AT-1;2;0
2021-01-06;AT-1;3;0
2021-01-06;AT-1;4;0
2021-01-06;AT-2;1;1
2021-01-06;AT-2;2;0
2021-01-06;AT-2;3;0
2021-01-06;AT-2;4;0
2021-01-06;AT-3;1;160
2021-01-06;AT-3;2;0
2021-01-06;AT-3;3;0
2021-01-06;AT-3;4;0
2021-01-06;AT-4;1;2
2021-01-06;AT-4;2;0
2021-01-06;AT-4;3;0
2021-01-06;AT-4;4;0
2021-01-06;AT-5;1;54
2021-01-06;AT-5;2;0
2021-01-06;AT-5;3;0
2021-01-06;AT-5;4;0
2021-01-06;AT-6;1;7
2021-01-06;AT-6;2;0
2021-01-06;AT-6;3;0
2021-01-06;AT-6;4;0
2021-01-06;AT-7;1;4
2021-01-06;AT-7;2;0
2021-01-06;AT-7;3;0
2021-01-06;AT-7;4;0
2021-01-06;AT-8;1;4
2021-01-06;AT-8;2;0
2021-01-06;AT-8;3;0
2021-01-06;AT-8;4;0
2021-01-06;AT-9;1;620
2021-01-06;AT-9;2;0
2021-01-06;AT-9;3;0
2021-01-06;AT-9;4;0
2021-01-07;AT-1;1;31
2021-01-07;AT-1;2;0
2021-01-07;AT-1;3;0
2021-01-07;AT-1;4;0
2021-01-07;AT-2;1;16
2021-01-07;AT-2;2;0
2021-01-07;AT-2;3;0
2021-01-07;AT-2;4;0
2021-01-07;AT-3;1;568
2021-01-07;AT-3;2;0
2021-01-07;AT-3;3;0
2021-01-07;AT-3;4;0
2021-01-07;AT-4;1;131
2021-01-07;AT-4;2;1
2021-01-07;AT-4;3;0
2021-01-07;AT-4;4;0
2021-01-07;AT-5;1;633
2021-01-07;AT-5;2;0
2021-01-07;AT-5;3;0
2021-01-07;AT-5;4;0
2021-01-07;AT-6;1;105
2021-01-07;AT-6;2;0
2021-01-07;AT-6;3;0
2021-01-07;AT-6;4;0
2021-01-07;AT-7;1;224
2021-01-07;AT-7;2;0
2021-01-07;AT-7;3;0
2021-01-07;AT-7;4;0
2021-01-07;AT-8;1;591
2021-01-07;AT-8;2;0
2021-01-07;AT-8;3;0
2021-01-07;AT-8;4;0
2021-01-07;AT-9;1;988
2021-01-07;AT-9;2;0
2021-01-07;AT-9;3;0
2021-01-07;AT-9;4;0
2021-01-08;AT-1;1;219
2021-01-08;AT-1;2;0
2021-01-08;AT-1;3;0
2021-01-08;AT-1;4;0
2021-01-08;AT-2;1;1307
2021-01-08;AT-2;2;0
2021-01-08;AT-2;3;0
2021-01-08;AT-2;4;0
2021-01-08;AT-3;1;2355
2021-01-08;AT-3;2;0
2021-01-08;AT-3;3;0
2021-01-08;AT-3;4;0
2021-01-08;AT-4;1;506
2021-01-08;AT-4;2;0
2021-01-08;AT-4;3;0
2021-01-08;AT-4;4;0
2021-01-08;AT-5;1;1467
2021-01-08;AT-5;2;2
2021-01-08;AT-5;3;0
2021-01-08;AT-5;4;0
2021-01-08;AT-6;1;2955
2021-01-08;AT-6;2;0
2021-01-08;AT-6;3;0
2021-01-08;AT-6;4;0
2021-01-08;AT-7;1;418
2021-01-08;AT-7;2;0
2021-01-08;AT-7;3;0
2021-01-08;AT-7;4;0
2021-01-08;AT-8;1;2360
2021-01-08;AT-8;2;0
2021-01-08;AT-8;3;0
2021-01-08;AT-8;4;0
2021-01-08;AT-9;1;1483
2021-01-08;AT-9;2;0
2021-01-08;AT-9;3;0
2021-01-08;AT-9;4;0
2021-01-09;AT-1;1;49
2021-01-09;AT-1;2;0
2021-01-09;AT-1;3;0
2021-01-09;AT-1;4;0
2021-01-09;AT-2;1;70
2021-01-09;AT-2;2;0
2021-01-09;AT-2;3;0
2021-01-09;AT-2;4;0
2021-01-09;AT-3;1;1382
2021-01-09;AT-3;2;0
2021-01-09;AT-3;3;0
2021-01-09;AT-3;4;0
2021-01-09;AT-4;1;61
2021-01-09;AT-4;2;0
2021-01-09;AT-4;3;0
2021-01-09;AT-4;4;0
2021-01-09;AT-5;1;218
2021-01-09;AT-5;2;0
2021-01-09;AT-5;3;0
2021-01-09;AT-5;4;0
2021-01-09;AT-6;1;233
2021-01-09;AT-6;2;0
2021-01-09;AT-6;3;0
2021-01-09;AT-6;4;0
2021-01-09;AT-7;1;51
2021-01-09;AT-7;2;0
2021-01-09;AT-7;3;0
2021-01-09;AT-7;4;0
2021-01-09;AT-8;1;1846
2021-01-09;AT-8;2;0
2021-01-09;AT-8;3;0
2021-01-09;AT-8;4;0
2021-01-09;AT-9;1;580
2021-01-09;AT-9;2;0
2021-01-09;AT-9;3;0
2021-01-09;AT-9;4;0
2021-01-10;AT-1;1;31
2021-01-10;AT-1;2;0
2021-01-10;AT-1;3;0
2021-01-10;AT-1;4;0
2021-01-10;AT-2;1;3
2021-01-10;AT-2;2;0
2021-01-10;AT-2;3;0
